order_id,order_type_group,fromlatitude,fromlongitude,tolatitude,tolongitude,user_id,start_price
7828254005,city,60.9327392578125,76.61779022216797,60.9268684387207,76.59580993652344,60956626,550.0
7828275717,city,60.944332122802734,76.646728515625,60.890995025634766,76.64238739013672,122150263,800.0
7828692021,city,60.93291091918945,76.60276794433594,60.93717956542969,76.58267974853516,27835124,600.0
7828264665,city,60.928680419921875,76.60427856445312,60.94157028198242,76.58859252929688,43355481,600.0
7828390567,city,60.93156051635742,76.63240814208984,60.93898010253906,76.56401062011719,4335254,580.0
7828247494,city,60.92686080932617,76.58352661132812,60.92213821411133,76.59355163574219,21408751,550.0
7828257247,city,60.93608856201172,76.593017578125,60.931819915771484,76.56507873535156,14216478,600.0
7828442235,city,60.9327507019043,76.60913848876953,60.93893814086914,76.55602264404297,300027126,570.0
7828589122,city,60.95225143432617,76.59133911132812,60.940391540527344,76.57697296142578,15985918,560.0
7828699146,city,60.9392204284668,76.56118774414062,60.93328857421875,76.62555694580078,2411028,570.0
7828558576,city,60.94190216064453,76.55442810058594,60.939083099365234,76.57630920410156,82407133,520.0
7828621260,city,60.92723846435547,76.58451080322266,60.91946029663086,76.60710144042969,7286920,550.0
7828465849,city,60.89651870727539,76.65182495117188,60.939453125,76.58729553222656,300535779,750.0
7828190292,city,60.93144989013672,76.63026428222656,60.92954635620117,76.60152435302734,153948490,590.0
7828470983,city,60.92673873901367,76.6277084350586,60.92774963378906,76.60816955566406,18528211,550.0
7828584357,city,60.93750762939453,76.60780334472656,60.944095611572266,76.5360336303711,7380002,600.0
7828619917,city,60.93980026245117,76.55326843261719,60.952571868896484,76.59683227539062,28857035,600.0
7828262118,city,60.946258544921875,76.5905990600586,60.94239044189453,76.58466339111328,9509239,550.0
7828588326,city,60.9310302734375,76.60003662109375,60.92900085449219,76.55751037597656,303184293,550.0
7828287607,city,60.946903228759766,76.60846710205078,60.93722152709961,76.57332611083984,587193,700.0
7828572231,city,60.94022750854492,76.59425354003906,60.927696228027344,76.60920715332031,154454979,550.0
7828566972,city,60.937801361083984,76.61161804199219,60.936649322509766,76.5798110961914,300810028,600.0
7828553623,city,60.93709945678711,76.61653137207031,60.94723892211914,76.58854675292969,302933250,500.0
7828568950,city,60.9352912902832,76.52935028076172,60.93687057495117,76.62619018554688,162793753,650.0
7828547423,city,60.93650817871094,76.58135986328125,60.94221878051758,76.5635986328125,5610716,550.0
7828280999,city,60.95336151123047,76.59715270996094,60.945030212402344,76.59841918945312,160638138,550.0
7828549148,city,60.93368148803711,76.62133026123047,60.95027160644531,76.60946655273438,18949747,530.0
7828501228,city,60.949344635009766,76.56192016601562,60.941383361816406,76.54900360107422,15312496,550.0
7828433988,city,60.93669128417969,76.5543212890625,60.942359924316406,76.57103729248047,176627580,600.0
7828494094,city,60.92893600463867,76.5510025024414,60.93710708618164,76.5911865234375,37690472,550.0
7828678537,city,60.929283142089844,76.60227966308594,60.92985153198242,76.61283874511719,5516774,550.0
7828621908,city,60.93851852416992,76.55722045898438,60.9439697265625,76.58757781982422,302914441,600.0
7828351705,city,60.94502639770508,76.59842681884766,60.92879104614258,76.61167907714844,7744984,580.0
7828661771,city,60.92832946777344,76.61321258544922,60.92974853515625,76.57929992675781,88631713,550.0
7828276199,city,60.92707061767578,76.60066223144531,60.943321228027344,76.57882690429688,12896465,600.0
7828616340,city,60.90092849731445,76.64759063720703,60.942718505859375,76.53460693359375,18027119,700.0
7828604893,city,60.94166564941406,76.5533447265625,60.9543571472168,76.56429290771484,96732763,600.0
7828619108,city,60.932247161865234,76.57196044921875,60.936336517333984,76.58025360107422,3162106,550.0
7828499250,city,60.94145965576172,76.61293029785156,60.948341369628906,76.61061096191406,301403408,550.0
7828537671,courier,54.817989349365234,56.10226821899414,54.813045501708984,56.11173629760742,9485872,550.0
7828415062,city,60.92247009277344,76.59721374511719,60.942169189453125,76.56957244873047,144412915,570.0
7828379891,city,60.95317840576172,76.60852813720703,60.89188003540039,76.65771484375,302948548,650.0
7828426885,city,60.93293380737305,76.59469604492188,60.940643310546875,76.59815216064453,142783203,550.0
7828534207,city,60.94546127319336,76.54910278320312,60.936553955078125,76.6095199584961,302539374,650.0
7828303719,city,60.9556884765625,76.57836151123047,60.93431091308594,76.59774017333984,156947,600.0
7828380681,city,60.95583724975586,76.55799102783203,60.948822021484375,76.51213836669922,72520148,500.0
7828296189,city,60.9280891418457,76.5932846069336,60.94478988647461,76.64266204833984,11454020,650.0
7828620128,city,60.95307922363281,76.59843444824219,60.94135284423828,76.54537200927734,103698987,650.0
7828282240,city,60.9461784362793,76.59439849853516,60.93722152709961,76.57333374023438,27503306,600.0
7828124795,city,60.9399299621582,76.54649353027344,60.934730529785156,76.5819091796875,116221812,600.0
7828428322,city,60.93975067138672,76.5696029663086,60.94557571411133,76.56148529052734,14757203,550.0
7828615411,city,60.938560485839844,76.55734252929688,60.93259048461914,76.57100677490234,5358471,550.0
7828294822,city,60.94536590576172,76.61228942871094,60.92298889160156,76.59540557861328,9601611,550.0
7828317205,city,60.916839599609375,76.61156463623047,60.946533203125,76.563720703125,37554777,650.0
7828528132,city,60.945289611816406,76.59454345703125,60.93381881713867,76.5784683227539,5454174,550.0
7828315067,city,60.94258117675781,76.59423828125,60.94010925292969,76.55874633789062,34822358,600.0
7828361582,city,60.929847717285156,76.5997314453125,60.943702697753906,76.5616455078125,50424232,600.0
7828575610,city,60.93608474731445,76.57998657226562,60.951515197753906,76.60159301757812,31598867,600.0
7828611529,city,60.92610168457031,76.61131286621094,60.93846893310547,76.5566635131836,7178891,550.0
7828588107,city,60.94131088256836,76.58515167236328,60.949161529541016,76.61274719238281,94973847,580.0
7828420148,city,60.894161224365234,76.66699981689453,60.93637466430664,76.62289428710938,2564391,650.0
7828547146,city,60.9287109375,76.6096420288086,60.93722152709961,76.57333374023438,3319932,580.0
7828700076,city,60.93952178955078,76.55342864990234,60.94504928588867,76.56127166748047,303051272,600.0
7828593592,city,60.94422912597656,76.54638671875,60.93341064453125,76.60797119140625,5970647,600.0
7828389936,city,60.89413833618164,76.66764068603516,60.91706085205078,76.51532745361328,302993751,650.0
7828279919,city,60.926788330078125,76.625,60.93756866455078,76.60722351074219,8996516,550.0
7828122830,city,60.91872787475586,76.61335754394531,60.92622756958008,76.62996673583984,128354033,670.0
7828260106,city,60.95330047607422,76.5912857055664,60.94147872924805,76.60162353515625,302892441,580.0
7828660825,city,60.951595306396484,76.59273529052734,60.932655334472656,76.55036926269531,301186208,600.0
7828569550,city,60.9409294128418,76.57974243164062,60.9327392578125,76.62053680419922,1974363,600.0
7828515489,city,60.94050979614258,76.5634994506836,60.94078063964844,76.60735321044922,94599672,580.0
7828438898,city,60.93999481201172,76.60111236572266,60.92726516723633,76.59716796875,104575798,550.0
7828629003,city,60.92824172973633,76.58746337890625,60.936649322509766,76.5798110961914,8699569,580.0
7828702470,city,60.951419830322266,76.55345916748047,60.92982864379883,76.59612274169922,77174750,600.0
7828634339,city,60.94492721557617,76.56533813476562,60.915775299072266,76.60868835449219,10807076,650.0
7828669285,city,60.94641876220703,76.6446762084961,60.93975830078125,76.6033935546875,303724812,600.0
7828325186,city,60.93833923339844,76.60965728759766,60.94580078125,76.5654067993164,85709804,530.0
7828702289,city,60.938331604003906,76.61904907226562,60.94556427001953,76.56371307373047,156735,580.0
7828603846,city,60.93716049194336,76.5790786743164,60.93880081176758,76.55101776123047,5825175,550.0
7828578312,city,60.938621520996094,76.55708312988281,60.896209716796875,76.6686782836914,1691157,570.0
7828649148,city,60.9361686706543,76.55139923095703,60.93721008300781,76.6128158569336,53028043,600.0
7828312732,city,60.94593811035156,76.60665893554688,60.93008041381836,76.5586929321289,3251916,600.0
7828413446,city,60.930999755859375,76.58370971679688,60.941680908203125,76.61219787597656,7872425,600.0
7828706552,city,60.942527770996094,76.55975341796875,60.931888580322266,76.62459564208984,303512950,600.0
7828671687,city,60.954010009765625,76.58023071289062,60.933349609375,76.551513671875,69428412,600.0
7828661187,city,60.95232009887695,76.59149169921875,60.927799224853516,76.57878112792969,7183274,550.0
7828232929,city,60.9364013671875,76.56188201904297,60.93804168701172,76.52288818359375,28923928,580.0
7828567077,city,60.8909797668457,76.65058135986328,60.94108963012695,76.62326049804688,111565978,650.0
7828557993,courier,60.92906188964844,76.62017059326172,60.92953872680664,76.62232208251953,148900400,600.0
7828474370,city,60.95262145996094,76.5948486328125,60.93893814086914,76.55602264404297,300433751,530.0
7828564626,city,60.94723892211914,76.58853912353516,60.935699462890625,76.59420776367188,9849870,600.0
7828322575,city,60.931400299072266,76.58798217773438,60.93524932861328,76.62418365478516,13492801,550.0
7828618563,city,60.94145202636719,76.55757141113281,60.95271301269531,76.59701538085938,300020591,600.0
7828396621,city,60.93613052368164,76.62273406982422,60.92933654785156,76.54360961914062,10737110,600.0
7828657497,city,60.92845916748047,76.62979125976562,60.93782043457031,76.60939025878906,15441279,520.0
7828696128,city,60.939125061035156,76.5748062133789,60.946311950683594,76.59282684326172,48672708,600.0
7828292650,city,60.94329833984375,76.5904312133789,60.93741989135742,76.5741195678711,3692754,550.0
7828687048,city,60.91196060180664,76.49712371826172,60.949676513671875,76.59938049316406,303420109,820.0
7828266750,city,60.9368782043457,76.60830688476562,60.927520751953125,76.59758758544922,10292167,600.0
7828343925,city,60.962039947509766,76.62355041503906,60.94239044189453,76.58467102050781,88483633,670.0
